arch,aug,epoch,train_loss,train_acc,val_loss,val_acc,lr
DeepCNN,basic,3,2.30453,0.09827,2.30582,0.0976,0.099114
DeepCNN,basic,4,2.30464,0.09887,2.30655,0.1,0.098429
DeepCNN,basic,5,2.30434,0.09922,2.30394,0.1002,0.097553
DeepCNN,basic,6,2.30437,0.09822,2.30442,0.0942,0.096489
DeepCNN,basic,7,2.30448,0.10093,2.30603,0.0942,0.095241
DeepCNN,basic,8,2.30438,0.09782,2.30359,0.1008,0.093815
DeepCNN,basic,9,2.30419,0.10158,2.30319,0.1024,0.092216
DeepCNN,basic,10,2.30445,0.098,2.30431,0.0942,0.090451
DeepCNN,basic,11,2.30429,0.09973,2.30358,0.1,0.088526
DeepCNN,basic,12,2.30425,0.09889,2.30454,0.0942,0.086448
DeepCNN,basic,13,2.30441,0.09769,2.30475,0.0942,0.084227
DeepCNN,basic,14,2.30416,0.10031,2.30471,0.0942,0.081871
DeepCNN,basic,15,2.30384,0.10047,2.30637,0.0942,0.079389
DeepCNN,basic,16,2.30405,0.10191,2.30362,0.0942,0.076791
DeepCNN,basic,17,2.30413,0.09793,2.30387,0.0942,0.074088
DeepCNN,basic,18,2.30417,0.09669,2.30528,0.1,0.071289
DeepCNN,basic,19,2.30366,0.10069,2.30327,0.1024,0.068406
DeepCNN,basic,20,2.30374,0.09964,2.3037,0.0942,0.065451
DeepCNN,basic,21,2.30391,0.09813,2.30596,0.0942,0.062434
DeepCNN,basic,22,2.3038,0.10013,2.30339,0.1008,0.059369
DeepCNN,basic,23,2.30389,0.09869,2.30385,0.1028,0.056267
DeepCNN,basic,24,2.3038,0.1,2.30313,0.1008,0.05314
DeepCNN,basic,25,2.30386,0.10009,2.30336,0.0976,0.05
DeepCNN,basic,26,2.30348,0.09853,2.30285,0.1008,0.04686
DeepCNN,basic,27,2.30349,0.10024,2.30358,0.1,0.043733
DeepCNN,basic,28,2.30336,0.10031,2.30368,0.0942,0.040631
DeepCNN,basic,29,2.30334,0.09913,2.30273,0.0942,0.037566
DeepCNN,basic,30,2.30326,0.10093,2.30367,0.1014,0.034549
DeepCNN,basic,31,2.30317,0.10109,2.30307,0.1014,0.031594
DeepCNN,basic,32,2.30319,0.1012,2.30277,0.1008,0.028711
DeepCNN,basic,33,2.30321,0.09993,2.30397,0.0942,0.025912
DeepCNN,basic,34,2.30308,0.09911,2.30383,0.1002,0.023209
DeepCNN,basic,35,2.30325,0.09764,2.30298,0.0942,0.020611
DeepCNN,basic,36,2.303,0.09927,2.30231,0.1,0.018129
DeepCNN,basic,37,2.30296,0.09798,2.30334,0.0976,0.015773
DeepCNN,basic,38,2.30293,0.10024,2.30316,0.1008,0.013552
DeepCNN,basic,39,2.30285,0.09904,2.30321,0.0942,0.011474
DeepCNN,basic,40,2.30285,0.09918,2.30268,0.1028,0.009549
DeepCNN,basic,41,2.30282,0.09907,2.3026,0.1014,0.007784
DeepCNN,basic,42,2.30275,0.09838,2.30291,0.0942,0.006185
DeepCNN,basic,43,2.30273,0.09967,2.3028,0.1028,0.004759
DeepCNN,basic,44,2.30273,0.09644,2.30281,0.0942,0.003511
