arch,aug,epoch,train_loss,train_acc,val_loss,val_acc,lr
DeepCNN,medium,36,1.22062,0.56333,1.04766,0.6202,0.001813
DeepCNN,medium,37,1.21229,0.56498,1.06202,0.6182,0.001577
DeepCNN,medium,38,1.20269,0.57024,1.04164,0.624,0.001355
DeepCNN,medium,39,1.18826,0.57171,1.05023,0.6184,0.001147
DeepCNN,medium,40,1.172,0.58158,1.01866,0.6374,0.000955
DeepCNN,medium,41,1.15674,0.58544,1.01321,0.6346,0.000778
DeepCNN,medium,42,1.15551,0.58869,0.99332,0.6448,0.000618
DeepCNN,medium,43,1.15277,0.59036,0.99474,0.6404,0.000476
DeepCNN,medium,44,1.14334,0.59027,0.985,0.6458,0.000351
DeepCNN,medium,45,1.13167,0.59762,0.98694,0.647,0.000245
DeepCNN,medium,46,1.13216,0.59651,0.98177,0.649,0.000157
DeepCNN,medium,47,1.12532,0.59862,0.97765,0.6526,8.9e-05
DeepCNN,medium,48,1.12119,0.60173,0.97285,0.6504,3.9e-05
DeepCNN,medium,49,1.11663,0.60229,0.97277,0.65,1e-05
DeepCNN,medium,50,1.11596,0.60184,0.97562,0.6494,0.0
DeepCNN,aggressive,1,4.08135,0.09989,2.30225,0.099,0.00999
DeepCNN,aggressive,2,2.30265,0.09898,2.30099,0.1268,0.009961
DeepCNN,aggressive,3,2.3018,0.10273,2.30147,0.106,0.009911
DeepCNN,aggressive,4,2.30194,0.10033,2.2985,0.111,0.009843
DeepCNN,aggressive,5,2.30149,0.10518,2.29692,0.1288,0.009755
DeepCNN,aggressive,6,2.30104,0.10613,2.29037,0.1218,0.009649
DeepCNN,aggressive,7,2.29711,0.10736,2.27399,0.1406,0.009524
DeepCNN,aggressive,8,2.29518,0.11507,2.26957,0.1528,0.009382
DeepCNN,aggressive,9,2.29117,0.12202,2.25863,0.1762,0.009222
DeepCNN,aggressive,10,2.29187,0.1198,2.26425,0.1436,0.009045
DeepCNN,aggressive,11,2.287,0.12509,2.24066,0.1726,0.008853
DeepCNN,aggressive,12,2.28574,0.12556,2.25004,0.1686,0.008645
DeepCNN,aggressive,13,2.28236,0.12767,2.2361,0.191,0.008423
DeepCNN,aggressive,14,2.27957,0.13189,2.2213,0.2,0.008187
DeepCNN,aggressive,15,2.26886,0.13584,2.195,0.2086,0.007939
DeepCNN,aggressive,16,2.23122,0.15744,2.11976,0.2174,0.007679
DeepCNN,aggressive,17,2.19704,0.16533,2.08393,0.2184,0.007409
DeepCNN,aggressive,18,2.17109,0.17071,2.02959,0.2304,0.007129
DeepCNN,aggressive,19,2.139,0.17931,1.95706,0.2408,0.006841
DeepCNN,aggressive,20,2.09698,0.19091,1.96088,0.273,0.006545
DeepCNN,aggressive,21,2.07901,0.19644,1.90542,0.266,0.006243
DeepCNN,aggressive,22,2.04169,0.20467,1.8902,0.2836,0.005937
DeepCNN,aggressive,23,2.03214,0.21364,1.84629,0.3046,0.005627
DeepCNN,aggressive,24,2.01918,0.21429,1.85097,0.3002,0.005314
DeepCNN,aggressive,25,2.00536,0.22311,1.82962,0.3174,0.005
DeepCNN,aggressive,26,1.98647,0.23402,1.80574,0.3146,0.004686
DeepCNN,aggressive,27,1.97885,0.23778,1.77058,0.3284,0.004373
DeepCNN,aggressive,28,1.96194,0.2446,1.76249,0.3478,0.004063
DeepCNN,aggressive,29,1.94921,0.25331,1.74581,0.3592,0.003757
DeepCNN,aggressive,30,1.93384,0.25851,1.74432,0.3572,0.003455
DeepCNN,aggressive,31,1.92603,0.26598,1.70568,0.369,0.003159
DeepCNN,aggressive,32,1.9074,0.27667,1.67712,0.377,0.002871
DeepCNN,aggressive,33,1.89328,0.28258,1.66211,0.3774,0.002591
DeepCNN,aggressive,34,1.88439,0.29064,1.66165,0.3766,0.002321
DeepCNN,aggressive,35,1.86736,0.29722,1.65925,0.3952,0.002061
DeepCNN,aggressive,36,1.85399,0.30511,1.60821,0.3984,0.001813
DeepCNN,aggressive,37,1.83612,0.31067,1.62722,0.4036,0.001577
DeepCNN,aggressive,38,1.82147,0.31624,1.57303,0.4206,0.001355
DeepCNN,aggressive,39,1.81027,0.32176,1.54763,0.4238,0.001147
DeepCNN,aggressive,40,1.79631,0.32936,1.55215,0.4228,0.000955
DeepCNN,aggressive,41,1.78537,0.33307,1.52984,0.4324,0.000778
DeepCNN,aggressive,42,1.78063,0.33184,1.54608,0.4248,0.000618
DeepCNN,aggressive,43,1.77149,0.33407,1.52317,0.4288,0.000476
DeepCNN,aggressive,44,1.76793,0.33998,1.51275,0.4334,0.000351
DeepCNN,aggressive,45,1.75587,0.3484,1.51429,0.4388,0.000245
DeepCNN,aggressive,46,1.75533,0.34291,1.51109,0.435,0.000157
DeepCNN,aggressive,47,1.75182,0.34529,1.50837,0.4388,8.9e-05
DeepCNN,aggressive,48,1.75094,0.34813,1.50178,0.4418,3.9e-05
DeepCNN,aggressive,49,1.7448,0.34989,1.50592,0.443,1e-05
DeepCNN,aggressive,50,1.74558,0.35036,1.50733,0.4432,0.0
